Metric,Lower_value,Upper_value,Unit,Currency,Geography,Context,Scope,Source_title,Source_URL,Source_location,Source_year,Year_in_source_dataset,Price_year_status,Verification_basis,Record_ID,Record_origin
Taihu Basin water-environment comprehensive management plan investment,116413.0,116413.0,million RMB,,"Taihu Basin, China","The 2013 revised plan lists 11 categories, 542 key projects, and total estimated investment of 1164.13 yi yuan (RMB 116.413 billion).",2013 revised plan; 1164.13 hundred-million RMB x 100 = 116413 million RMB; total investment,太湖流域水环境综合治理总体方案（2013年修编）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201401/W020190905508283518222.pdf,"PDF page 60, lines 1420-1422: 11 categories, 542 key projects, total investment 1164.13 亿元; lines 1427-1433 split near/far-term and provincial investment.",2013,2013,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",R63_TAIHU_2013_REVISED_PLAN_INVESTMENT,47-candidate
Managed Aquatic Plant Systems,24.0,24.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_MAPS,75-source high-quality
Reservoir-Assisted Stormwater Treatment Area,77.0,77.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_RASTA,75-source high-quality
Stormwater Treatment Area STA-1E,469.0,469.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA1E,75-source high-quality
Stormwater Treatment Area STA-1W,1346.0,1346.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA1W,75-source high-quality
Stormwater Treatment Area STA-2,895.0,895.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA2,75-source high-quality
Stormwater Treatment Area STA-3/4,442.0,442.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA34,75-source high-quality
Stormwater Treatment Area STA-5,369.0,369.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA5,75-source high-quality
Stormwater Treatment Area STA-6,1109.0,1109.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_STA6,75-source high-quality
Everglades Stormwater Program ACME B,268.0,268.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_ACME_B,75-source high-quality
Everglades Stormwater Program Feeder Canal,686.0,686.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_FEEDER_CANAL,75-source high-quality
Everglades Stormwater Program L-28,318.0,318.0,USD/kg P removed,USD,"Everglades, Florida",Table 2 lists treatment types and average costs for total P removed in $/kg P removed; rows include MAPS 24 and RASTA 77 USD/kg P.,,Cost Effectiveness of Phosphorus Removal in Selected Everglades Stormwater Treatment Projects,https://ask.ifas.ufl.edu/publication/FE576,Table 2,2005,2005,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",REST_EVERGLADES_L28,75-source high-quality
forest buffer,5.89,5.89,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_FOREST_BUFFER_N,75-source high-quality
forest buffer,48.76,48.76,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_FOREST_BUFFER_P,75-source high-quality
forest buffer,92.0,92.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_FOREST_BUFFER_AREAL,75-source high-quality
grass buffer,16.59,16.59,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_GRASS_BUFFER_N,75-source high-quality
grass buffer,36.22,36.22,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_GRASS_BUFFER_P,75-source high-quality
grass buffer,91.0,91.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_GRASS_BUFFER_AREAL,75-source high-quality
streamside fencing,21.02,21.02,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_STREAMSIDE_FENCING_N,75-source high-quality
streamside fencing,164.61,164.61,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_STREAMSIDE_FENCING_P,75-source high-quality
streamside fencing,123.0,123.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_STREAMSIDE_FENCING_AREAL,75-source high-quality
conservation tillage,10.05,10.05,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_CONSERVATION_TILLAGE_N,75-source high-quality
conservation tillage,304.65,304.65,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_CONSERVATION_TILLAGE_P,75-source high-quality
conservation tillage,24.0,24.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_CONSERVATION_TILLAGE_AREAL,75-source high-quality
nutrient management,5.68,5.68,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_NUTRIENT_MANAGEMENT_N,75-source high-quality
nutrient management,221.87,221.87,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_NUTRIENT_MANAGEMENT_P,75-source high-quality
nutrient management,3.0,3.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_NUTRIENT_MANAGEMENT_AREAL,75-source high-quality
"wetland restoration, headwater",136.87,136.87,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_HEADWATER_N,75-source high-quality
"wetland restoration, headwater",103.66,103.66,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_HEADWATER_P,75-source high-quality
"wetland restoration, headwater",324.0,324.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_HEADWATER_AREAL,75-source high-quality
"wetland restoration, floodplain",89.24,89.24,USD/lb TN reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_FLOODPLAIN_N,75-source high-quality
"wetland restoration, floodplain",70.77,70.77,USD/lb TP reduced,USD,Maryland / Chesapeake Bay BMP cost-effectiveness assumptions,"Table 2 gives annualized unit cost per implementation acre and $/lb TN and $/lb TP for BMPs including buffers, fencing, tillage, nutrient management and wetlands.",,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_FLOODPLAIN_P,75-source high-quality
"wetland restoration, floodplain",222.0,222.0,USD/implementation acre/year,USD,Maryland / Chesapeake Bay BMP cost assumptions,Table 2 lists annualized unit cost per implementation acre for each BMP.,,Maryland Chesapeake Bay Restoration Cost Estimates,https://mde.maryland.gov/programs/water/TMDL/TMDLImplementation/Documents/Phase-III-WIP-Report/Final%20Phase%20III%20WIP%20Package/Supplemental%20Information/UMCES_BMP_Costs_Report_032921.pdf,Table 2,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_MD_WETLAND_FLOODPLAIN_AREAL,75-source high-quality
cross-provincial eco-compensation,100.0,400.0,RMB million/year or annual tranche,CNY,"Xin'anjiang basin, Anhui-Zhejiang","MEE page reports phase I central RMB300M/year, bilateral RMB100M/year rule, and phase II central RMB400/300/200M plus bilateral RMB200M/year.",Annual programme value; do not mix with USD/kg P or USD/ha/yr axes.,全国首个跨省流域生态保护补偿机制的“新安江模式”,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk15/201909/t20190906_732784.html,MEE webpage payment-mechanism paragraphs,2019,2012-2019 programme periods,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WATERSHED_CHINA_XINANJIANG_ECOCOMP_LABEL,75-source high-quality
Lake Victoria fisheries-resource management component,31.8,31.8,US$ million actual component cost,USD,Lake Victoria Environmental Management Project II,ICR component table reports actual costs: Component 1 US$31.8M and Component 2 US$35.3M.,Project total evidence only; do not use in unit-cost panels.,Implementation Completion and Results Report: Lake Victoria Environmental Management Project Phase II,https://documents1.worldbank.org/curated/en/866591545927201610/pdf/icr00001562-p100406-icr-document-12182018-636810265632510409.pdf,ICR component cost table,2018,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",PROJECT_LVEMP_II_FISHERY_COMPONENT,75-source high-quality
Lake Victoria point-source pollution / WWTP component,35.3,35.3,US$ million actual component cost,USD,Lake Victoria Environmental Management Project II,ICR component table reports actual costs: Component 1 US$31.8M and Component 2 US$35.3M.,Project total evidence only; do not use in unit-cost panels.,Implementation Completion and Results Report: Lake Victoria Environmental Management Project Phase II,https://documents1.worldbank.org/curated/en/866591545927201610/pdf/icr00001562-p100406-icr-document-12182018-636810265632510409.pdf,ICR component cost table,2018,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",PROJECT_LVEMP_II_POINT_SOURCE_COMPONENT,75-source high-quality
Kenya pond tilapia enterprise budget,600000.0,600000.0,KSh/ha,,Kenya,"Ponds KSh 600,000 per ha",1-ha Kenya pond enterprise budget; ponds item,Tilapia Farm Business Management and Economics: A Training Manual,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Tilapia-Farm-Business-Management-and-Economics-A-Training-Manual.pdf ; https://thefishsite.com/articles/tilapia-farm-business-management-and-economics-a-training-manual,"PDF lines 557-656: 1-ha farm budget assumptions; investment cost of machinery/equipment KSh100,000; ponds KSh600,000; total investment KSh1,154,000.",2000-2005 data; manual published 2005/2006,2000-2005 data; manual published 2005/2006,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_KENYA_PONDS_600000,47-candidate
Kenya pond tilapia enterprise budget,100000.0,100000.0,KSh/farm budget,,Kenya,"Machinery/equipment KSh 100,000 in the 1-ha budget",1-ha Kenya pond enterprise budget; machinery/equipment item,Tilapia Farm Business Management and Economics: A Training Manual,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Tilapia-Farm-Business-Management-and-Economics-A-Training-Manual.pdf ; https://thefishsite.com/articles/tilapia-farm-business-management-and-economics-a-training-manual,"PDF lines 557-656: 1-ha farm budget assumptions; investment cost of machinery/equipment KSh100,000; ponds KSh600,000; total investment KSh1,154,000.",2000-2005 data; manual published 2005/2006,2000-2005 data; manual published 2005/2006,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_KENYA_EQUIPMENT_100000,47-candidate
Kenya pond tilapia enterprise budget,1154000.0,1154000.0,KSh/farm budget,,Kenya,"Total investment KSh 1,154,000 in the 1-ha budget",1-ha Kenya pond enterprise budget; total investment,Tilapia Farm Business Management and Economics: A Training Manual,https://extension.rwfm.tamu.edu/wp-content/uploads/sites/8/2013/09/Tilapia-Farm-Business-Management-and-Economics-A-Training-Manual.pdf ; https://thefishsite.com/articles/tilapia-farm-business-management-and-economics-a-training-manual,"PDF lines 557-656: 1-ha farm budget assumptions; investment cost of machinery/equipment KSh100,000; ponds KSh600,000; total investment KSh1,154,000.",2000-2005 data; manual published 2005/2006,2000-2005 data; manual published 2005/2006,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_KENYA_TOTAL_1154000,47-candidate
Uganda Lake Victoria tilapia cage aquaculture,76.0,76.0,percent,,Uganda / Lake Victoria,Feed share 76% in small cage scenario,small cage scenario,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,"Nazziwa PDF production-enterprise budget figures/tables; prior local extraction lines report feed shares 76%, 81%, 82% for small, medium and large cage scenarios.",2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_FEED_SMALL_76,47-candidate
Uganda Lake Victoria tilapia cage aquaculture,81.0,81.0,percent,,Uganda / Lake Victoria,Feed share 81% in medium cage scenario,medium cage scenario,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,"Nazziwa PDF production-enterprise budget figures/tables; prior local extraction lines report feed shares 76%, 81%, 82% for small, medium and large cage scenarios.",2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_FEED_MEDIUM_81,47-candidate
Uganda Lake Victoria tilapia cage aquaculture,82.0,82.0,percent,,Uganda / Lake Victoria,Feed share 82% in large cage scenario,large cage scenario,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,"Nazziwa PDF production-enterprise budget figures/tables; prior local extraction lines report feed shares 76%, 81%, 82% for small, medium and large cage scenarios.",2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",AQUA_UGANDA_FEED_LARGE_82,47-candidate
Taihu reward for timely agreement signing,750.0,750.0,RMB/mu,,"Taihu waters within Suzhou administrative area, China",Timely-agreement reward 750 RMB/mu,reward conditional on timely agreement,关于太湖围网拆除补偿方案的公告（苏府公〔2018〕4号）,https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Lines 96-102: livelihood subsidy, free vocational training, social-security inclusion; lines 108-110: 750 RMB/mu + 750 RMB/mu reward.",2018,2018,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",TAIHU_REWARD_SIGNING_750,47-candidate
