Evidence_ID,Source_row,Reference_ID,Parameter_Category,Parameter_Name,Symbol,Polymer_Type,Particle_Shape,Size_Class_um,Original_Value_Mean,Original_Value_Min,Original_Value_Max,Original_Unit,Standardized_value,Standardized_min,Standardized_max,Standardized_unit,Derivation_Method,Notes,Original_parameter_name,Source_title,Source_URL,Source_Location_extra_field,Decision,Decision_reason,Corrected_source_value,Corrected_source_unit,Transformation_or_correction,Record_role,Evidence_scope,Verification_detail,Source_locator_or_extracted_note,Use_limit,Parameter_type,Prior_verification_note
BOX-0033,34,Besseling_2017,Settling,Stokes settling velocity (20.0 um particle),v_s,Mixed,Sphere,20.0,7.830E-06,NA,NA,m/s,6.7651E-01,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (20.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",7.830E-06,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0034,35,Besseling_2017,Settling,Stokes settling velocity (50.0 um particle),v_s,Mixed,Sphere,50.0,4.890E-05,NA,NA,m/s,4.2250E+00,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (50.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.890E-05,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0035,36,Besseling_2017,Settling,Stokes settling velocity (100.0 um particle),v_s,Mixed,Sphere,100.0,1.960E-04,NA,NA,m/s,1.6934E+01,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (100.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E-04,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0036,37,Besseling_2017,Settling,Stokes settling velocity (200.0 um particle),v_s,Mixed,Sphere,200.0,7.830E-04,NA,NA,m/s,6.7651E+01,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (200.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",7.830E-04,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0037,38,Besseling_2017,Settling,Stokes settling velocity (500.0 um particle),v_s,Mixed,Sphere,500.0,4.890E-03,NA,NA,m/s,4.2250E+02,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (500.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.890E-03,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0038,39,Besseling_2017,Settling,Stokes settling velocity (1000.0 um particle),v_s,Mixed,Sphere,1000.0,1.960E-02,NA,NA,m/s,1.6934E+03,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (1000.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E-02,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0039,40,Besseling_2017,Settling,Stokes settling velocity (2000.0 um particle),v_s,Mixed,Sphere,2000.0,7.830E-02,NA,NA,m/s,6.7651E+03,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (2000.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",7.830E-02,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0040,41,Besseling_2017,Settling,Stokes settling velocity (5000.0 um particle),v_s,Mixed,Sphere,5000.0,4.890E-01,NA,NA,m/s,4.2250E+04,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (5000.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.890E-01,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0041,42,Besseling_2017,Settling,Stokes settling velocity (10000.0 um particle),v_s,Mixed,Sphere,10000.0,1.960E+00,NA,NA,m/s,1.6934E+05,NA,NA,m/d,Theoretical,Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,Stokes settling velocity (10000.0 um particle),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.960E+00,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",Stokes law Eq. S8; rho_p=1040 kg/m3; Table S4B. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,"The particle diameter and printed Stokes settling rate match the corresponding Table S4B row; this is a theoretical model value, not a field observation."
BOX-0042,43,Besseling_2017,Settling,Suspended solids SS1 Stokes settling velocity,v_s_SS,NA,NA,0.5,5.370E-07,NA,NA,m/s,4.6397E-02,NA,NA,m/d,Theoretical,"SS1, radius=0.5 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400",Suspended solids SS1 Stokes settling velocity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",5.370E-07,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.","SS1, radius=0.5 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,The suspended-solids size class and Stokes settling rate match the corresponding Table S4A row.
BOX-0043,44,Besseling_2017,Settling,Suspended solids SS1 water concentration,C_SS_w,NA,NA,0.5,3.380E+03,NA,NA,1E9 particles/m3,3.380E+03,NA,NA,1E9 particles/m3,Empirical,SS1; Table S4A; initial concentration in water phase,Suspended solids SS1 water concentration,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",3.380E+03,1E9 particles/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",SS1; Table S4A; initial concentration in water phase,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,reported_measurement_or_study_statistic,
BOX-0044,45,Besseling_2017,Settling,Suspended solids SS2 Stokes settling velocity,v_s_SS,NA,NA,1.5,4.830E-06,NA,NA,m/s,4.1731E-01,NA,NA,m/d,Theoretical,"SS2, radius=1.5 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400",Suspended solids SS2 Stokes settling velocity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.830E-06,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.","SS2, radius=1.5 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,The suspended-solids size class and Stokes settling rate match the corresponding Table S4A row.
BOX-0045,46,Besseling_2017,Settling,Suspended solids SS2 water concentration,C_SS_w,NA,NA,1.5,1.250E+02,NA,NA,1E9 particles/m3,1.250E+02,NA,NA,1E9 particles/m3,Empirical,SS2; Table S4A; initial concentration in water phase,Suspended solids SS2 water concentration,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.250E+02,1E9 particles/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",SS2; Table S4A; initial concentration in water phase,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,reported_measurement_or_study_statistic,
BOX-0046,47,Besseling_2017,Settling,Suspended solids SS3 Stokes settling velocity,v_s_SS,NA,NA,5.0,5.370E-05,NA,NA,m/s,4.6397E+00,NA,NA,m/d,Theoretical,"SS3, radius=5.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400",Suspended solids SS3 Stokes settling velocity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",5.370E-05,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.","SS3, radius=5.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,The suspended-solids size class and Stokes settling rate match the corresponding Table S4A row.
BOX-0047,48,Besseling_2017,Settling,Suspended solids SS3 water concentration,C_SS_w,NA,NA,5.0,3.380E+00,NA,NA,1E9 particles/m3,3.380E+00,NA,NA,1E9 particles/m3,Empirical,SS3; Table S4A; initial concentration in water phase,Suspended solids SS3 water concentration,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",3.380E+00,1E9 particles/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",SS3; Table S4A; initial concentration in water phase,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,reported_measurement_or_study_statistic,
BOX-0048,49,Besseling_2017,Settling,Suspended solids SS4 Stokes settling velocity,v_s_SS,NA,NA,15.0,4.830E-04,NA,NA,m/s,4.1731E+01,NA,NA,m/d,Theoretical,"SS4, radius=15.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400",Suspended solids SS4 Stokes settling velocity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",4.830E-04,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.","SS4, radius=15.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,The suspended-solids size class and Stokes settling rate match the corresponding Table S4A row.
BOX-0049,50,Besseling_2017,Settling,Suspended solids SS4 water concentration,C_SS_w,NA,NA,15.0,1.250E-01,NA,NA,1E9 particles/m3,1.250E-01,NA,NA,1E9 particles/m3,Empirical,SS4; Table S4A; initial concentration in water phase,Suspended solids SS4 water concentration,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.250E-01,1E9 particles/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",SS4; Table S4A; initial concentration in water phase,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,reported_measurement_or_study_statistic,
BOX-0050,51,Besseling_2017,Settling,Suspended solids SS5 Stokes settling velocity,v_s_SS,NA,NA,50.0,5.370E-03,NA,NA,m/s,4.6397E+02,NA,NA,m/d,Theoretical,"SS5, radius=50.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400",Suspended solids SS5 Stokes settling velocity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",5.370E-03,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,theoretical_calculation_or_model_output,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.","SS5, radius=50.0 um, rho_SS=2120 kg/m3; Table S4A. Stokes calc. Converted: *86400","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7. Ideal Stokes-law calculation, valid only in the low-Reynolds-number regime. Large-particle extrapolations are not validated settling measurements.",Theoretical calculation,The suspended-solids size class and Stokes settling rate match the corresponding Table S4A row.
BOX-0051,52,Besseling_2017,Settling,Suspended solids SS5 water concentration,C_SS_w,NA,NA,50.0,0.000E+00,NA,NA,1E9 particles/m3,0.000E+00,NA,NA,1E9 particles/m3,Empirical,SS5; Table S4A; initial concentration in water phase,Suspended solids SS5 water concentration,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.000E+00,1E9 particles/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.15, Table S4.",SS5; Table S4A; initial concentration in water phase,Study-specific; do not pool as a universal lake coefficient or treat model outputs/bookkeeping as independent observations.,reported_measurement_or_study_statistic,
BOX-0052,53,Besseling_2017,Settling,Suspended solids density,rho_SS,NA,NA,0.5-50,2120,NA,NA,kg/m3,2120,NA,NA,kg/m3,Empirical,"Dommel river; organic fraction rho=1250, inorganic rho=2700 kg/m3; Boyd 1995 method; Table S5",Suspended solids density,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",2120,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.","Dommel river; organic fraction rho=1250, inorganic rho=2700 kg/m3; Boyd 1995 method; Table S5","Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0053,54,Besseling_2017,Settling,Upstream plastic input concentration (default),C_in,Mixed,Sphere,0.1-10000,1,NA,NA,ng/L,1,NA,NA,ng/L,Empirical,Table S2; representative average of freshwater microplastic concentrations,Upstream plastic input concentration (default),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1,ng/L,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Table S2; representative average of freshwater microplastic concentrations,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The 1 ng/L initial input concentration and its unit match Table S4A-B context.
BOX-0054,55,Besseling_2017,Settling,Fractal dimension of plastic homoaggregates,D_f,Mixed,NA,NA,2.5,NA,NA,-,2.5,NA,NA,-,Calibrated,Table S5; as used for other (nano)particles (Quik et al. 2015),Fractal dimension of plastic homoaggregates,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",2.5,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",Table S5; as used for other (nano)particles (Quik et al. 2015),"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0055,56,Besseling_2017,Biofouling,Biofilm layer thickness,delta_biofilm,Mixed,NA,NA,0.4,NA,NA,um,0.4,NA,NA,um,Empirical,Average bacteria width (Pernthaler et al. 1996); SI page 20 confirms 0.4 um,Biofilm layer thickness,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.4,um,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Average bacteria width (Pernthaler et al. 1996); SI page 20 confirms 0.4 um,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The process description and value match the NanoDUFLOW biofilm/sediment model description; scenario settings remain assumptions.
BOX-0056,57,Besseling_2017,Biofouling,Biofilm density,rho_biofilm,NA,NA,NA,1250,NA,NA,kg/m3,1250,NA,NA,kg/m3,Empirical,Density of organic matter (Avnimelech et al. 2001); Section 2.3.4,Biofilm density,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1250,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Density of organic matter (Avnimelech et al. 2001); Section 2.3.4,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The process description and value match the NanoDUFLOW biofilm/sediment model description; scenario settings remain assumptions.
BOX-0057,58,Besseling_2017,Biofouling,Biofilm alpha_het multiplier factor,f_biofilm_alpha,NA,NA,NA,2,1,3,-,2,1,3,-,Empirical,Biofilm increases alpha_het 2-3x; Quik et al. 2011; Xiao & Wiesner 2013,Biofilm alpha_het multiplier factor,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",2,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Biofilm increases alpha_het 2-3x; Quik et al. 2011; Xiao & Wiesner 2013,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The process description and value match the NanoDUFLOW biofilm/sediment model description; scenario settings remain assumptions.
BOX-0058,59,Besseling_2017,Biofouling,alpha_het with biofilm (scenario 1),alpha_het_biofilm1,Mixed,Sphere,NA,0.02,NA,NA,-,0.02,NA,NA,-,Calibrated,Biofilm scenario with alpha_het=0.02; Section 3.2.4.2,alpha_het with biofilm (scenario 1),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.02,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Biofilm scenario with alpha_het=0.02; Section 3.2.4.2,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The process description and value match the NanoDUFLOW biofilm/sediment model description; scenario settings remain assumptions.
BOX-0059,60,Besseling_2017,Biofouling,alpha_het with biofilm (scenario 2),alpha_het_biofilm2,Mixed,Sphere,NA,0.03,NA,NA,-,0.03,NA,NA,-,Calibrated,Biofilm scenario with alpha_het=0.03; Section 3.2.4.2; Fig. S4,alpha_het with biofilm (scenario 2),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.03,-,No v5 value/unit correction applied; original source-table fields are retained separately.,model_default_or_scenario,v5_local_pdf_read_with_retained_locator,v5 personally read local Besseling supplementary PDF; SI PDF model-description passages; retained row locator was not retyped cell-by-cell.,Biofilm scenario with alpha_het=0.03; Section 3.2.4.2; Fig. S4,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Model input or scenario assumption,The process description and value match the NanoDUFLOW biofilm/sediment model description; scenario settings remain assumptions.
